Command,Description,Syntax,Parameters,Category,Tags
schtasks,"Schedules commands and programs to run periodically or at a specific time, adds and removes tasks from the schedule, starts and stops tasks on demand, and displays and changes scheduled tasks.",schtasks change,"schtasks-changeschtasks change - Changes one or more of the following properties of a task:The program that the task runs (/tr)The user account under which the task runs (/ru)The password for the user account (/rp)Adds the interactive-only property to the task (/it)
 schtasks-createschtasks create - Schedules a new task.
 schtasks-deleteschtasks delete - Deletes a scheduled task.
 schtasks-endschtasks end - Stops a program started by a task.
 schtasks-queryschtasks query - Displays tasks scheduled to run on the computer.
 schtasks-runschtasks run - Starts a scheduled task immediately. The run operation ignores the schedule, but uses the program file location, user account, and password saved in the task to run the task immediately.",System Administration,Command Scheduling
scwcmd,The Scwcmd.exe command-line tool included with the Security Configuration Wizard (SCW) can be used to perform the following tasks:,scwcmd analyze,"scwcmd-analyzescwcmd analyze - Determines whether a computer is in compliance with a policy.
 scwcmd-configurescwcmd configure - Applies an SCW-generated security policy to a computer.
 scwcmd-registerscwcmd register - Extends or customizes the SCW Security Configuration Database by registering a Security Configuration Database file that contains role, task, service, or port definitions.
 scwcmd-rollbackscwcmd rollback - Applies the most recent rollback policy available, and then deletes that rollback policy.
 scwcmd-transformscwcmd transform - Transforms a security policy file generated by using SCW into a new Group Policy object (GPO) in Active Directory Domain Services.
 scwcmd-viewscwcmd view - Renders an .xml file by using a specified .xsl transform.",Executable Utility,
scwcmd analyze,Determines whether a computer is in compliance with a policy. Results are returned in an .xml file.,"scwcmd analyze [[[/m:<computername>
 /ou:<OuName>] /p:<policy>]
 /i:<computerlist>] [/o:<resultdir>] [/u:<username>] [/pw:<password>] [/t:<threads>] [/l] [/e]","/m:<computername> - Specifies the NetBIOS name, DNS name, or IP address of the computer to analyze. If the /m parameter is specified, then the /p parameter must also be specified.
 /ou:<OuName> - Specifies the fully qualified domain name (FQDN) of an organizational unit (OU) in Active Directory Domain Services. If the /ou parameter is specified, then the /p parameter must also be specified. All computers in the OU will be analyzed against the given policy.
 /p:<policy> - Specifies the path and file name of the .xml policy file to be used to perform the analysis.
 /i:<computerlist> - Specifies the path and file name of an .xml file that contains a list of computers along with their expected policy files. All computers in the .xml file will be analyzed against their corresponding policy files. A sample .xml file is %windir%\security\SampleMachineList.xml.
 /o:<resultdir> - Specifies the path and directory where the analysis result files should be saved. The default is the current directory.
 /u:<username> - Specifies an alternate user credential to use when performing the analysis on a remote computer. The default is the logged on user.
 /pw:<password> - Specifies an alternate user credential to use when performing the analysis on a remote computer. The default is the password of the logged on user.
 /t:<threads> - Specifies the number of simultaneous outstanding analysis operations that should be maintained during the analysis. The value range is 1-1000, with a default value of 40.
 /l - Causes the analysis process to be logged. One log file will be generated for each computer being analyzed. The log files will be stored in the same directory as the result files. Use the /o option to specify the directory for the result files.
 /e - Log an event to the Application Event log if a mismatch is found.
 /? - Displays help at the command prompt.",Executable Utility,
scwcmd configure,Applies a Security Configuration Wizard (SCW)-generated security policy to a computer. This command-line tool also accepts a list of computer names as input.,"scwcmd configure [[[/m:<computername>
 /ou:<OuName>] /p:<policy>]
 /i:<computerlist>] [/u:<username>] [/pw:<password>] [/t:<threads>]","/m:<computername> - Specifies the NetBIOS name, DNS name, or IP address of the computer to configure. If the /m parameter is specified, then the /p parameter must also be specified.
 /ou:<OuName> - Specifies the fully qualified domain name (FQDN) of an organizational unit (OU) in Active Directory Domain Services. If the /ou parameter is specified, then the /p parameter must also be specified. All computers in the OU will be configured against the given policy.
 /p:<policy> - Specifies the path and file name of the .xml policy file to be used to perform the configuration.
 /i:<computerlist> - Specifies the path and file name of an .xml file that contains a list of computers along with their expected policy files. All computers in the .xml file will be analyzed against their corresponding policy files. A sample .xml file is %windir%\security\SampleMachineList.xml.
 /u:<username> - Specifies an alternate user credential to use when performing the configuration on a remote computer. The default is the logged on user.
 /pw:<password> - Specifies an alternate user credential to use when performing the configuration on a remote computer. The default is the password of the logged on user.
 /t:<threads> - Specifies the number of simultaneous outstanding configuration operations that should be maintained during the analysis. The value range is 1-1000, with a default value of 40.
 /l - Causes the analysis process to be logged. One log file will be generated for each computer being analyzed. The log files will be stored in the same directory as the result files. Use the /o option to specify the directory for the result files.
 /e - Log an event to the Application Event log if a mismatch is found.
 /? - Displays help at the command prompt.",Executable Utility,
scwcmd register,"Extends or customizes the Security Configuration Wizard (SCW) Security Configuration Database by registering a Security Configuration Database file that contains role, task, service, or port definitions.",scwcmd register /kbname:<MyApp> [/kbfile:<kb.xml>] [/kb:<path>] [/d],"/kbname:<MyApp> - Specifies the name under which the Security Configuration Database extension will be registered. This parameter must be specified.
 /kbfile:<kb.xml> - Specifies the path and file name of the Security Configuration Database file used to extend or customize the base Security Configuration Database. To validate that the Security Configuration Database file is compliant with the SCW schema, use the %windir%\security\KBRegistrationInfo.xsd schema definition file. This option must be provided unless the /d parameter is specified.
 /kb:<path> - Specifies the path to the directory that contains the SCW Security Configuration Database files to be updated. If this option is not specified, %windir%\security\msscw\kbs is used.
 /d - Unregisters a Security Configuration Database extension from the Security Configuration Database. The extension to unregister is specified by the /kbname parameter. (The /kbfile parameter shouldn't be specified.) The Security Configuration Database to unregister the extension from is specified by the /kb parameter.
 /? - Displays help at the command prompt.",Executable Utility,
scwcmd rollback,"Applies the most recent rollback policy available, and then deletes that rollback policy.",scwcmd rollback /m:<computername> [/u:<username>] [/pw:<password>],"/m:<computername> - Specifies the NetBIOS name, DNS name, or IP address of a computer where the rollback operation should be performed.
 /u:<username> - Specifies an alternate user account to use when performing a remote rollback. The default is the logged on user.
 /pw:<password> - Specifies an alternate user credential to use when performing a remote rollback. The default is the logged on user.
 /? - Displays help at the command prompt.",Executable Utility,
scwcmd transform,"Transforms a security policy file generated by using the Security Configuration Wizard (SCW) into a new Group Policy Object (GPO) in Active Directory Domain Services. The transform operation does not change any settings on the server where it is performed. After the transform operation has completed, an administrator must link the GPO to the desired OUs to deploy the policy to servers.",scwcmd transform /p:<policyfile.xml> /g:<GPOdisplayname>,"/p:<policyfile.xml> - Specifies the path and file name of the .xml policy file that should be applied. This parameter must be specified.
 /g:<GPOdisplayname> - Specifies the display name of the GPO. This parameter must be specified.
 /? - Displays help at the command prompt.",Executable Utility,
scwcmd view,Renders an .xml file by using a specified .xsl transform. This command can be useful for displaying Security Configuration Wizard (SCW) .xml files by using different views.,scwcmd view /x:<Xmlfile.xml> [/s:<Xslfile.xsl>],"/x:<Xmlfile.xml> - Specifies the .xml file to be viewed. This parameter must be specified.
 /s:<Xslfile.xsl> - Specifies the .xsl transform to apply to the .xml file as part of the rendering process. This parameter is optional for SCW .xml files. When the view command is used to render a SCW .xml file, it will automatically try to load the correct default transform for the specified .xml file. If an .xsl transform is specified, the transform must be written under the assumption that the .xml file is in the same directory as the .xsl transform.
 /? - Displays help at the command prompt.",Executable Utility,
secedit,Configures and analyzes system security by comparing your current security configuration against specified security templates.,secedit /analyze,"secedit-analyzesecedit /analyze - Allows you to analyze current systems settings against baseline settings that are stored in a database. The analysis results are stored in a separate area of the database and can be viewed in the Security Configuration and Analysis snap-in.
 secedit-configuresecedit /configure - Allows you to configure a system with security settings stored in a database.
 secedit-exportsecedit /export - Allows you to export security settings stored in a database.
 secedit-generaterollbacksecedit /generaterollback - Allows you to generate a rollback template with respect to a configuration template.
 secedit-importsecedit /import - Allows you to import a security template into a database so that the settings specified in the template can be applied to a system or analyzed against a system.
 secedit-validatesecedit /validate - Allows you to validate the syntax of a security template.
 scesrv.log - Location: %windir%\security\logsCreated by: Operating systemFile type: TextRefresh rate: Overwritten when secedit analyze, secedit configure, secedit export or secedit import is run.Content: Contains the results of the analysis grouped by policy type.
 user-selected name.sdb - Location: %windir%\<user account>\Documents\Security\DatabaseCreated by: Running the Security Configuration and Analysis snap-inFile type: ProprietaryRefresh rate: Updated whenever a new security template is created.Content: Local security policies and user-created security templates.
 user-selected name.log - Location: User-defined, but defaults to %windir%\<user account>\Documents\Security\LogsCreated by: Running the secedit analyze or secedit configure commands, or by using the Security Configuration and Analysis snap-in.File type: TextRefresh rate: Overwritten when secedit analyze or secedit configure is run, or by using the Security Configuration and Analysis snap-in.Content: Log file name, date and time, and the results of the analysis or investigation.
 user-selected name.inf - Location: %windir%\*<user account>\Documents\Security\TemplatesCreated by: Running the Security Template snap-in.File type: TextRefresh rate: Overwritten each time the security template is updated.Content: Contains the set up information for the template for each policy selected using the snap-in.",System Administration,
secedit analyze,Allows you to analyze current systems settings against baseline settings that are stored in a database.,secedit /analyze /db <database file name> [/cfg <configuration file name>] [/overwrite] [/log <log file name>] [/quiet}],"/db - Required. Specifies the path and file name of the database containing the stored configuration against which the analysis is performed. If the file name specifies a database that hasn't had a security template (as represented by the configuration file) associated with it, the /cfg <configuration file name> option must also be specified.
 /cfg - Specifies the path and file name for the security template that will be imported into the database for analysis. This option is only valid when used with the /db <database file name> parameter. If this parameter isn't also specified, the analysis is performed against any configuration already stored in the database.
 /overwrite - Specifies whether the security template in the /cfg parameter should overwrite any template or composite template that is stored in the database, instead of appending the results to the stored template. This option is only valid when the /cfg <configuration file name> parameter is also used. If this parameter isn't also specified, the template in the /cfg parameter is appended to the stored template.
 /log - Specifies the path and file name of the log file to be used in the process. If you don't specify a file location, the default log file, <systemroot>\Documents and Settings\<UserAccount>\My Documents\Security\Logs\<databasename>.log is used.
 /quiet - Suppresses screen output. You can still view analysis results by using the Security Configuration and Analysis snap-in to the Microsoft Management Console (MMC).",System Administration,
secedit configure,Allows you to configure the current system settings using security settings stored in a database.,"secedit /configure /db <database file name> [/cfg <configuration file name>] [/overwrite] [/areas [securitypolicy
 group_mgmt
 user_rights
 regkeys
 filestore
 services]] [/log <log file name>] [/quiet]","/db - Required. Specifies the path and file name of the database containing the stored configuration. If the file name specifies a database that hasn't had a security template (as represented by the configuration file) associated with it, the /cfg <configuration file name> option must also be specified.
 /cfg - Specifies the path and file name for the security template that will be imported into the database for analysis. This option is only valid when used with the /db <database file name> parameter. If this parameter isn't also specified, the analysis is performed against any configuration already stored in the database.
 /overwrite - Specifies whether the security template in the /cfg parameter should overwrite any template or composite template that is stored in the database, instead of appending the results to the stored template. This option is only valid when the /cfg <configuration file name> parameter is also used. If this parameter isn't also specified, the template in the /cfg parameter is appended to the stored template.
 /areas - Specifies the security areas to be applied to the system. If this parameter is not specified, all security settings defined in the database are applied to the system. To configure multiple areas, separate each area by a space. The following security areas are supported:securitypolicy: Local policy and domain policy for the system, including account policies, audit policies, security options, and so on. group_mgmt: Restricted group settings for any groups specified in the security template.user_rights: User logon rights and granting of privileges.regkeys: Security on local registry keys.filestore: Security on local file storage.services: Security for all defined services.
 /log - Specifies the path and file name of the log file to be used in the process. If you don't specify a file location, the default log file, <systemroot>\Documents and Settings\<UserAccount>\My Documents\Security\Logs\<databasename>.log is used.
 /quiet - Suppresses screen and log output. You can still view analysis results by using the Security Configuration and Analysis snap-in to the Microsoft Management Console (MMC).",System Administration,
secedit export,"Exports security settings stored in a database configured with security templates. You can use this command to backup your security policies on a local computer, in addition to importing the settings to another computer.","secedit /export /db <database file name> [/mergedpolicy] /cfg <configuration file name> [/areas [securitypolicy
 group_mgmt
 user_rights
 regkeys
 filestore
 services]] [/log <log file name>] [/quiet]","/db - Required. Specifies the path and file name of the database containing the stored configuration against which the export is performed. If the file name specifies a database that hasn't had a security template (as represented by the configuration file) associated with it, the /cfg <configuration file name> option must also be specified.
 /mergedpolicy - Merges and exports domain and local policy security settings.
 /cfg - Required. Specifies the path and file name for the security template that will be imported into the database for analysis. This option is only valid when used with the /db <database file name> parameter. If this parameter isn't also specified, the analysis is performed against any configuration already stored in the database.
 /areas - Specifies the security areas to be applied to the system. If this parameter is not specified, all security settings defined in the database are applied to the system. To configure multiple areas, separate each area by a space. The following security areas are supported:securitypolicy: Local policy and domain policy for the system, including account policies, audit policies, security options, and so on. group_mgmt: Restricted group settings for any groups specified in the security template.user_rights: User logon rights and granting of privileges.regkeys: Security on local registry keys.filestore: Security on local file storage.services: Security for all defined services.
 /log - Specifies the path and file name of the log file to be used in the process. If you don't specify a file location, the default log file, <systemroot>\Documents and Settings\<UserAccount>\My Documents\Security\Logs\<databasename>.log is used.
 /quiet - Suppresses screen and log output. You can still view analysis results by using the Security Configuration and Analysis snap-in to the Microsoft Management Console (MMC).",System Administration,
secedit generaterollback,"Allows you to generate a rollback template for a specified configuration template. If an existing rollback template exists, running this command again will overwrite the existing information.",secedit /generaterollback /db <database file name> /cfg <configuration file name> /rbk <rollback template file name> [/log <log file name>] [/quiet],"/db - Required. Specifies the path and file name of the database containing the stored configuration against which the analysis is performed. If the file name specifies a database that hasn't had a security template (as represented by the configuration file) associated with it, the /cfg <configuration file name> option must also be specified.
 /cfg - Required. Specifies the path and file name for the security template that will be imported into the database for analysis. This option is only valid when used with the /db <database file name> parameter. If this parameter isn't also specified, the analysis is performed against any configuration already stored in the database.
 /rbk - Required. Specifies a security template into which the rollback information is written. Security templates are created using the Security Templates snap-in. Rollback files can be created with this command.
 /log - Specifies the path and file name of the log file to be used in the process. If you don't specify a file location, the default log file, <systemroot>\Documents and Settings\<UserAccount>\My Documents\Security\Logs\<databasename>.log is used.
 /quiet - Suppresses screen and log output. You can still view analysis results by using the Security Configuration and Analysis snap-in to the Microsoft Management Console (MMC).",System Administration,
secedit import,"Imports security settings (.inf file), previously exported from the database configured with security templates.","secedit /import /db <database file name> /cfg <configuration file name> [/overwrite] [/areas [securitypolicy
 group_mgmt
 user_rights
 regkeys
 filestore
 services]] [/log <log file name>] [/quiet]","/db - Required. Specifies the path and file name of the database containing the stored configuration against which the import is performed. If the file name specifies a database that hasn't had a security template (as represented by the configuration file) associated with it, the /cfg <configuration file name> option must also be specified.
 /overwrite - Specifies whether the security template in the /cfg parameter should overwrite any template or composite template that is stored in the database, instead of appending the results to the stored template. This option is only valid when the /cfg <configuration file name> parameter is also used. If this parameter isn't also specified, the template in the /cfg parameter is appended to the stored template.
 /cfg - Required. Specifies the path and file name for the security template that will be imported into the database for analysis. This option is only valid when used with the /db <database file name> parameter. If this parameter isn't also specified, the analysis is performed against any configuration already stored in the database.
 /areas - Specifies the security areas to be applied to the system. If this parameter is not specified, all security settings defined in the database are applied to the system. To configure multiple areas, separate each area by a space. The following security areas are supported:securitypolicy: Local policy and domain policy for the system, including account policies, audit policies, security options, and so on. group_mgmt: Restricted group settings for any groups specified in the security template.user_rights: User logon rights and granting of privileges.regkeys: Security on local registry keys.filestore: Security on local file storage.services: Security for all defined services.
 /log - Specifies the path and file name of the log file to be used in the process. If you don't specify a file location, the default log file, <systemroot>\Documents and Settings\<UserAccount>\My Documents\Security\Logs\<databasename>.log is used.
 /quiet - Suppresses screen and log output. You can still view analysis results by using the Security Configuration and Analysis snap-in to the Microsoft Management Console (MMC).",System Administration,
secedit validate,Validates the security settings stored in a security template (.inf file). Validating security templates can help you determine if one is corrupted or inappropriately set. Corrupted or inappropriately set security templates aren't applied.,secedit /validate <configuration file name>,<configuration file name> - Required. Specifies the path and file name for the security template that will be validated. Log files aren't updated by this command.,System Administration,
select,"Shifts the focus to a disk, partition, volume, or virtual hard disk (VHD).",select disk,"select-diskSelect disk - Shifts the focus to a disk.
 select-partitionSelect partition - Shifts the focus to a partition.
 select-vdiskSelect vdisk - Shifts the focus to a VHD.
 select-volumeSelect volume - Shifts the focus to a volume.",System Administration,Disk/Volume Management
select disk,Selects the specified disk and shifts the focus to it.,"select disk={<n
<disk path
syste
next}","<n> - Specifies the number of the disk to receive focus. You can view the numbers for all the disks on the computer by using the list disk command in DiskPart. NOTE When configuring systems with multiple disks, don't use select disk=0 to specify the system disk. The computer may reassign disk numbers when you reboot, and different computers with the same disk configuration can have different disk numbers.
 <disk path> - Specifies the location of the disk to receive focus, for example, PCIROOT(0)#PCI(0F02)#atA(C00T00L00). To view the location path of a disk, select it and then type detail disk.
 system - On BIOS computers, this option specifies that disk 0 receives focus. On EFI computers, the disk containing the EFI system partition (ESP), used for the current boot, receives focus. On EFI computers, the command will fail if there's no ESP, if there's more than one ESP, or if the computer is booted from Windows Preinstallation Environment (Windows PE).
 next - After a disk is selected, this option iterates over all disks in the disk list. When you run this option, the next disk in the list receives focus.",System Administration,Disk/Volume Management
select partition,Selects the specified partition and shifts the focus to it. This command can also be used to display the partition that currently has the focus in the selected disk.,select partition=<n>,partition=<n> - The number of the partition to receive the focus. You can view the numbers for all partitions on the disk currently selected by using the list partition command in DiskPart.,System Administration,Disk/Volume Management
select vdisk,Selects the specified virtual hard disk (VHD) and shifts the focus to it.,select vdisk file=<full path> [noerr],"file=<full path> - Specifies the full path and file name of an existing VHD file.
 noerr - Used for scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
select volume,Selects the specified volume and shifts the focus to it. This command can also be used to display the volume that currently has the focus in the selected disk.,"select volume={<n
<d>}","<n> - The number of the volume to receive the focus. You can view the numbers for all volumes on the disk currently selected by using the list volume command in DiskPart.
 <d> - The drive letter or mount point path of the volume to receive the focus.",System Administration,Disk/Volume Management
serverceipoptin,Allows you to participate in the Customer Experience Improvement Program (CEIP).,serverceipoptin [/query] [/enable] [/disable],"/query - Verifies your current setting.
 /enable - Turns on your participation in CEIP.
 /disable - Turns off your participation in CEIP.
 /? - Displays help at the command prompt.",System Administration,
servermanagercmd,"Installs and removes roles, role services, and features. Also displays the list of all roles, role services, and features available, and shows which are installed on this computer.",servermanagercmd -query [[[<drive>:]<path>]<query.xml>] [-logpath [[<drive>:]<path>]<log.txt>],"-query [[[<drive>:]<path>]<query.xml>] - Displays a list of all roles, role services, and features installed and available for installation on the server. You can also use the short form of this parameter, -q. If you want the query results saved to an XML file, specify an XML file to replace <query.xml>.
 -inputpath [[[<drive>:]<path>]<answer.xml>] - Installs or removes the roles, role services, and features specified in an XML answer file represented by <answer.xml>. You can also use the short form of this parameter, -p.
 -install <id> - Installs the role, role service, or feature specified by <id>. The identifiers are case-insensitive. Multiple roles, role services, and features must be separated by spaces. The following optional parameters are used with the -install parameter:-setting <SettingName>=<SettingValue> - Specifies required settings for the installation.-allSubFeatures - Specifies the installation of all subordinate services and features along with the parent role, role service, or feature named in the <id> value. NOTE Some role containers do not have a command line identifier to allow installation of all role services. This is the case when role services cannot be installed in the same instance of the Server Manager command. For example, the Federation Service role service of active directory Federation Services and the Federation Service Proxy role service cannot be installed by using the same Server Manager command instance.-resultpath <result.xml> - Saves installation results to an XML file represented by <result.xml>. You can also use the short form of this parameter, -r. NOTE You can't run servermanagercmd with both the -resultpath parameter and the -whatif parameter specified.-restart - Restarts the computer automatically when installation is complete (if restarting is required by the roles or features installed).-whatif - Displays any operations specified for the -install parameter. You can also use the short form of the -whatif parameter, -w. You can't run servermanagercmd with both the -resultpath parameter and the -whatif parameter specified.-logpath <[[<drive>:]<path>]<log.txt>> - Specifies a name and location for the log file, other than the default, %windir%\temp\servermanager.log.
 -remove <id> - Removes the role, role service, or feature specified by <id>. The identifiers are case-insensitive. Multiple roles, role services, and features must be separated by spaces. The following optional parameters are used with the -remove parameter:-resultpath <[[<drive>:]<path>]result.xml> - Saves removal results to an XML file represented by <result.xml>. You can also use the short form of this parameter, -r. NOTE You can't run servermanagercmd with both the -resultpath and the -whatif parameters specified.-restart - Restarts the computer automatically when removal is complete (if restarting is required by remaining roles or features).-whatif - Displays any operations specified for the -remove parameter. You can also use the short form of the -whatif parameter, -w. You can't run servermanagercmd with both the -resultpath and the -whatif parameters specified.-logpath<[[<Drive>:]<path>]<log.txt>> - Specifies a name and location for the log file, other than the default, %windir%\temp\servermanager.log.
 -version - Displays the Server Manager version number. You can also use the short form, -v.
 -help - Displays help in the Command prompt window. You can also use the short form, -?.",System Administration,
serverweroptin,Allows you to turn on error reporting.,serverweroptin [/query] [/detailed] [/summary],"/query - Verifies your current setting.
 /detailed - Specifies to send detailed reports automatically.
 /summary - Specifies to send summary reports automatically.
 /? - Displays help at the command prompt.",Logging,
set_1,"Displays, sets, or removes cmd.exe environment variables. If used without parameters, set displays the current environment variable settings.",set [<variable>=[<string>]],"<variable> - Specifies the environment variable to set or modify.
 <string> - Specifies the string to associate with the specified environment variable.
 /p - Sets the value of <variable> to a line of input entered by the user.
 <promptstring> - Specifies a message to prompt the user for input. This parameter must be used with the /p parameter.
 /a - Sets <string> to a numerical expression that is evaluated.
 <expression> - Specifies a numerical expression.
 /? - Displays help at the command prompt.
 ( ) - Grouping
 ! ~ - - Unary
 bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt / % - Arithmetic
 + - - Arithmetic
 << >> - Logical shift
 &amp; - Bitwise AND
 ^ - Bitwise exclusive OR
 = *= /= %= += -= &amp;= ^= - = <<= >>=
 , - Expression separator",System Administration,
set,"Sets the context, options, verbose mode, and metadata file for shadow copy creation. If used without parameters, set lists all current settings.",set,"set-contextset context - Sets the context for shadow copy creation.
 set-metadataset metadata - Sets the name and location of the shadow creation metadata file.
 set-optionset option - Sets options for shadow copy creation.
 set-verboseset verbose - Turns the verbose output mode on or off.
 /? - Displays help at the command prompt.",System Administration,"Disk/Volume Management, Shadow"
set context,"Sets the context for shadow copy creation. If used without parameters, set context displays help at the command prompt.","set context {clientaccessible
 persistent [nowriters]
 volatile [nowriters]}","clientaccessible - Specifies that the shadow copy is usable by client versions of Windows. This context is persistent by default.
 persistent - Specifies that the shadow copy persists across program exit, reset, or restart.
 volatile - Deletes the shadow copy on exit or reset.
 nowriters - Specifies that all writers are excluded.",System Administration,"Disk/Volume Management, Shadow"
set id,Changes the partition type field for the partition with focus. This command doesn't work on dynamic disks or on Microsoft Reserved partitions.,"set id={ <byte>
 <GUID> } [override] [noerr]","<byte> - For master boot record (MBR) disks, specifies the new value for the type field, in hexadecimal form, for the partition. Any partition type byte can be specified with this parameter except for type 0x42, which specifies an LDM partition. Note that the leading 0x is omitted when specifying the hexadecimal partition type.
 <GUID> - For GUID partition table (gpt) disks, specifies the new GUID value for the type field for the partition. Recognized GUIDs include:EFI system partition: c12a7328-f81f-11d2-ba4b-00a0c93ec93bBasic data partition: ebd0a0a2-b9e5-4433-87c0-68b6b72699c7Any partition type GUID can be specified with this parameter except the following:Microsoft Reserved partition: e3c9e316-0b5c-4db8-817d-f92df00215aeLDM metadata partition on a dynamic disk: 5808c8aa-7e8f-42e0-85d2-e1e90434cfb3LDM data partition on a dynamic disk: af9b60a0-1431-4f62-bc68-3311714a69adCluster metadata partition: db97dba9-0840-4bae-97f0-ffb9a327c7e1
 override - forces the file system on the volume to dismount before changing the partition type. When you run the set id command, DiskPart attempts to lock and dismount the file system on the volume. If override isn't specified, and the call to lock the file system fails (for example, because there is an open handle), the operation fails. If override is specified, DiskPart forces the dismount even if the call to lock the file system fails, and any open handles to the volume will stop being valid.
 noerr - Used for scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
setlocal,Starts localization of environment variables in a batch file. Localization continues until a matching endlocal command is encountered or the end of the batch file is reached.,"setlocal [enableextensions
 disableextensions] [enabledelayedexpansion
 disabledelayedexpansion]","enableextensions - Enables the command extensions until the matching endlocal command is encountered, regardless of the setting before the setlocal command was run.
 disableextensions - Disables the command extensions until the matching endlocal command is encountered, regardless of the setting before the setlocal command was run.
 enabledelayedexpansion - Enables the delayed environment variable expansion until the matching endlocal command is encountered, regardless of the setting before the setlocal command was run.
 disabledelayedexpansion - Disables the delayed environment variable expansion until the matching endlocal command is encountered, regardless of the setting before the setlocal command was run.
 /? - Displays help at the command prompt.",System Administration,Batch File
set metadata,"Sets the name and location of the shadow creation metadata file used to transfer shadow copies from one computer to another. If used without parameters, set metadata displays help at the command prompt.",set metadata [<drive>:][<path>]<metadata.cab>,"[<drive>:][<path>] - Specifies the location to create the metadata file.
 <metadata.cab> - Specifies the name of the cab file to store shadow creation metadata.","System Administration, File Manipulation","Disk/Volume Management, Shadow"
set option,"Sets the options for shadow copy creation. If used without parameters, set option displays help at the command prompt.","set option {[differential
 plex] [transportable] [[rollbackrecover] [txfrecover]
 [noautorecover]]}","[differential] - Specifies to create a point-in-time snapshot of specified volumes.
 [plex] - Specifies to create a point-in-time clone copy of the data on a specified volume.
 [transportable] - Specifies that the shadow copy is not to be imported yet. The metadata .cab file can later be used to import the shadow copy to the same or a different computer.
 [rollbackrecover] - Signals writers to use autorecover during the PostSnapshot event. This is useful if the shadow copy will be used for rollback (for example, with data mining).
 [txfrecover] - Requests VSS to make the shadow copy transactionally consistent during creation.
 [noautorecover] - Stops writers and the file system from performing any recovery changes to the shadow copy to a transactionally consistent state. Noautorecover can't be used with txfrecover or rollbackrecover.",System Administration,"Disk/Volume Management, Shadow"
set verbose,"Specifies whether verbose output is provided during shadow copy creation. If used without parameters, set verbose displays help at the command prompt.","set verbose {on
 off}","on - Turns on verbose output logging during the shadow copy creation process. If verbose mode is on, set provides details of writer inclusion or exclusion and details of metadata compression and extraction.
 off - Turns off verbose output logging during the shadow copy creation process.",System Administration,
setx,"Creates or modifies environment variables in the user or system environment, without requiring programming or scripting. The Setx command also retrieves the values of registry keys and writes them to text files.",setx [/s <computer> [/u [<domain>\]<user name> [/p [<password>]]]] <variable> <value> [/m],"/s <computer> - Specifies the name or IP address of a remote computer. Do not use backslashes. The default value is the name of the local computer.
 /u [<domain>\]<user name> - Runs the script with the credentials of the specified user account. The default value is the system permissions.
 /p [<password>] - Specifies the password of the user account that is specified in the /u parameter.
 <variable> - Specifies the name of the environment variable that you want to set.
 <value> - Specifies the value to which you want to set the environment variable.
 /k <path> - Specifies that the variable is set based on information from a registry key. The path uses the following syntax: \\<HIVE>\<KEY>\...\<Value>. For example, you might specify the following path: HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\TimeZoneInformation\StandardName
 /f <filename> - Specifies the file that you want to use.
 /a <X>,<Y> - Specifies absolute coordinates and offset as search parameters.
 /r <X>,<Y> <String> - Specifies relative coordinates and offset from String as search parameters.
 /m - Specifies to set the variable in the system environment. The default setting is the local environment.
 /x - Displays file coordinates, ignoring the /a, /r, and /d command-line options.
 /d <delimiters> - Specifies delimiters such as , or \ to be used in addition to the four built-in delimiters — SPACE, TAB, ENTER, and LINEFEED. Valid delimiters include any ASCII character. The maximum number of delimiters is 15, including built-in delimiters.
 /? - Displays help at the command prompt.",System Administration,
sfc,"Scans and verifies the integrity of all protected system files and replaces incorrect versions with correct versions. If this command discovers that a protected file has been overwritten, it retrieves the correct version of the file from the systemroot\ folder, and then replaces the incorrect file.",sfc [/scannow] [/verifyonly] [/scanfile=<file>] [/verifyfile=<file>] [/offwindir=<offline windows directory> /offbootdir=<offline boot directory> /offlogfile=<log file path>],"/scannow - Scans the integrity of all protected system files and repairs files with problems when possible.
 /verifyonly - Scans the integrity of all protected system files, without performing repairs.
 /scanfile <file> - Scans the integrity of the specified file (full path and filename) and attempts to repair any problems if they're detected.
 /verifyfile <file> - Verifies the integrity of the specified file (full path and filename), without performing repairs.
 /offwindir <offline windows directory> - Specifies the location of the offline windows directory, for offline repair.
 /offbootdir <offline boot directory> - Specifies the location of the offline boot directory for offline repair.
 /offlogfile=<log file path> - Specifies a location to store the log file other than the default.
 /? - Displays help at the command prompt.",System Administration,
